Customer ID,Recency,Frequency,Monetary,Cluster
JE-15715,47,22,8697.842999999999,1
JE-15745,52,23,6760.8150000000005,1
JE-16165,21,7,2697.248,0
JF-15190,66,19,2279.5860000000002,1
JF-15295,226,14,955.124,0
JF-15355,106,16,1911.844,0
JF-15415,3,14,2371.448,0
JF-15490,122,15,1082.918,0
JF-15565,55,16,4198.332,1
JG-15115,759,7,2358.676,2
JG-15160,2,18,6366.392,1
JG-15310,3,11,2240.58,0
JG-15805,224,9,1507.018,0
JH-15430,6,7,309.281,0
JH-15820,175,8,528.91,0
JH-15910,42,9,959.477,0
JH-15985,30,14,7954.9980000000005,1
JH-16180,405,5,2256.3940000000002,2
JJ-15445,484,6,709.178,2
JJ-15760,754,3,195.0,2
JK-15205,62,13,4427.142,0
JK-15325,288,4,383.812,2
JK-15370,45,17,2709.632,0
JK-15625,62,12,3760.028,0
JK-15640,181,12,4760.434,0
JK-15730,85,20,4867.2,1
JK-16090,29,9,3747.668,0
JK-16120,118,17,2932.484,1
JL-15130,9,12,1214.956,0
JL-15175,7,7,1571.523,0
JL-15235,120,10,2203.7,0
JL-15505,50,17,3173.874,1
JL-15835,22,34,9799.923,1
JL-15850,615,11,2725.256,2
JM-15250,38,19,3159.1220000000003,1
JM-15265,38,13,1804.146,0
JM-15535,103,10,1733.443,0
JM-15580,1,7,303.948,0
JM-15655,9,12,864.947,0
JM-15865,110,13,7625.076000000001,1
JM-16195,58,19,2833.9260000000004,1
JO-15145,58,13,3254.949,0
JO-15280,93,11,1934.272,0
JO-15550,216,11,1090.838,0
JP-15460,38,15,1669.135,0
JP-15520,9,16,3635.594,1
JP-16135,103,13,1707.71,0
JR-15670,594,3,1156.658,2
JR-15700,69,1,863.88,0
JR-16210,34,10,2201.686,0
JS-15595,120,8,1417.654,0
JS-15685,43,11,1131.0639999999999,0
JS-15880,535,9,3868.02,2
JS-15940,464,8,469.169,2
JS-16030,29,18,2516.494,1
JW-15220,43,14,7721.714,1
JW-15955,6,11,1244.086,0
JW-16075,462,7,1428.731,2
KA-16525,37,11,1519.506,0
KB-16240,5,10,3152.6150000000002,0
KB-16315,297,22,1569.464,1
KB-16405,118,9,908.821,0
KB-16585,231,23,2744.742,1
KB-16600,2,9,983.922,0
KC-16255,408,10,2120.954,2
KC-16540,98,5,3908.262,0
KC-16675,58,7,1146.05,0
KD-16270,485,16,8282.358,1
KD-16345,42,10,1888.964,0
KD-16495,113,28,8181.256,1
KD-16615,290,13,2243.5099999999998,0
KE-16420,27,15,1686.7312,0
KF-16285,98,18,10604.266,1
KH-16330,41,18,3312.864,1
KH-16360,2,14,3100.612,0
KH-16510,23,23,5952.859,1
KH-16630,59,17,3918.9660000000003,1
KH-16690,3,15,5990.799,1
KL-16555,17,22,5016.488,1
KL-16645,48,29,14175.229000000001,1
KM-16225,15,19,2260.958,1
KM-16375,57,20,5620.186,1
KM-16660,16,9,453.538,0
KM-16720,29,28,4909.472,1
KN-16390,20,17,2617.272,0
KN-16450,53,8,2171.962,0
KN-16705,99,15,2280.58,0
KS-16300,296,4,88.472,2
KT-16465,392,14,3057.1,2
KT-16480,101,13,4642.088400000001,1
KW-16435,97,10,4416.5199999999995,0
KW-16570,772,5,449.096,2
LA-16780,155,26,8673.222,1
LB-16735,49,3,50.188,0
LB-16795,153,24,4985.676,1
LC-16870,28,30,2580.7039999999997,1
LC-16885,17,23,7663.126,1
LC-16930,42,14,4492.946,1
LC-16960,437,7,3246.626,2
LC-17050,55,9,2095.064,0
LC-17140,14,19,2633.582,1
LD-16855,553,1,5.304,2
LD-17005,415,7,1961.934,2
LE-16810,22,9,1469.45,0
LF-17185,23,16,3930.5089999999996,1
LH-16750,152,3,287.426,0
LH-16900,22,15,2295.332,0
LH-17020,240,6,318.239,0
LH-17155,386,19,1739.689,2
LL-16840,250,12,2741.2039999999997,0
LM-17065,392,7,1346.774,2
LO-17170,3,9,644.35,0
LP-17080,41,9,756.606,0
LP-17095,10,15,3653.399,1
LR-16915,27,16,5142.892,1
LR-17035,133,12,1879.306,0
LS-16945,179,14,2845.27,0
LS-16975,21,22,2988.674,1
LS-17200,97,14,1010.2560000000001,0
LS-17230,778,6,368.88000000000005,2
LS-17245,35,12,1008.1360000000001,0
LT-16765,27,3,329.876,0
LT-17110,35,14,2936.252,0
LW-16825,89,15,2238.061,0
LW-16990,34,11,3230.308,0
LW-17125,206,5,1259.04,0
LW-17215,22,15,5420.514,1
MA-17560,65,34,4299.161,1
MA-17995,187,12,2453.284,0
MB-17305,49,19,1548.702,0
MB-18085,45,10,1428.231,0
MC-17275,77,13,2725.982,0
MC-17425,400,10,4432.138,2
MC-17575,28,11,1303.893,0
MC-17590,52,17,2426.067,0
MC-17605,113,18,2258.192,0
MC-17635,190,8,795.154,0
MC-17845,2,14,3805.714,0
MC-18100,42,19,2218.98,1
MC-18130,370,11,1581.9979999999998,2
MD-17350,118,17,3766.382,1
MD-17860,37,8,1204.91,0
ME-17320,43,22,10663.728000000001,1
ME-17725,29,13,1908.4532,0
ME-18010,93,6,1256.944,0
MF-17665,422,8,937.039,2
MF-18250,8,12,1758.3,0
MG-17650,30,14,3785.276,0
MG-17680,93,10,2350.188,0
MG-17695,556,7,1342.282,2
MG-17875,117,7,1242.8329999999999,0
MG-17890,100,13,776.384,0
MG-18145,85,8,3061.543,0
MG-18205,265,2,16.739,0
MH-17290,120,13,2394.025,0
MH-17440,377,9,400.016,2
MH-17455,86,11,2456.1820000000002,0
MH-17620,156,6,1252.8,0
MH-17785,99,11,2203.7780000000002,0
MH-18025,50,10,2984.948,0
MH-18115,6,22,5503.093,1
MJ-17740,23,15,6320.746,1
MK-17905,29,17,2302.368,0
MK-18160,241,11,1031.602,0
ML-17395,70,20,2722.843,1
ML-17410,55,15,2921.5,0
ML-17755,30,13,2071.9139999999998,0
ML-18040,80,4,742.082,0
ML-18265,101,3,162.232,0
MM-17260,169,6,1314.023,0
MM-17920,8,16,3794.0800000000004,1
MM-18055,62,19,2749.881,1
MM-18280,86,12,775.414,0
MN-17935,35,10,2477.946,0
MO-17500,73,5,922.487,0
MO-17800,105,11,1687.0269999999998,0
MO-17950,181,4,154.288,0
MP-17470,720,14,3206.132,2
MP-17965,73,20,3983.6420000000003,1
MP-18175,17,19,5087.92,1
MR-17545,126,6,639.178,0
MS-17365,274,24,7443.6900000000005,1
MS-17530,435,7,475.65599999999995,2
MS-17710,414,15,1613.402,2
MS-17770,122,19,3144.678,1
MS-17830,453,5,370.348,2
MS-17980,27,11,855.116,0
MT-17815,50,10,2890.139,0
MT-18070,204,11,1319.4498,0
MV-17485,28,15,1560.05,0
MV-18190,20,11,1734.574,0
MW-18220,18,14,5341.900000000001,1
MW-18235,45,3,5253.876,0
MY-17380,30,13,2254.285,0
MY-18295,72,21,4152.696,1
MZ-17335,31,6,593.606,0
MZ-17515,283,10,2564.906,0
NB-18580,1166,2,273.87199999999996,2
NB-18655,20,17,1972.599,0
NC-18340,225,17,2461.404,0
NC-18415,42,14,2218.9900000000002,0
NC-18535,7,15,8241.739,1
NC-18625,205,9,1821.742,0
ND-18370,28,18,4326.139,1
ND-18460,184,8,2893.455,0
NF-18385,80,14,8322.826,1
NF-18475,526,4,377.16200000000003,2
NF-18595,115,12,2031.472,0
NG-18355,49,16,1869.58,0
NG-18430,49,9,1395.9379999999999,0
NH-18610,190,11,2673.29,0
NK-18490,71,11,572.048,0
NL-18310,59,10,1418.0900000000001,0
NM-18445,161,14,6459.344,1
NM-18520,245,15,2161.979,0
NP-18325,26,21,5529.62,1
NP-18670,59,10,3908.402,0
NP-18685,407,7,1228.698,2
NP-18700,139,13,7903.1825,1
NR-18550,211,13,2367.277,0
NS-18505,7,15,2575.863,0
NS-18640,175,26,2964.823,1
NW-18400,173,22,7234.014,1
NZ-18565,86,20,2488.31,1
ON-18715,411,15,1567.52,2
OT-18730,66,10,3818.624,0
PA-19060,104,7,729.408,0
PB-18805,26,10,740.356,0
PB-19105,58,5,688.324,0
PB-19150,98,11,1456.95,0
PB-19210,689,2,132.738,2
PC-18745,3,5,1832.064,0
PC-19000,883,3,1061.488,2
PF-19120,836,19,9062.864,2
PF-19165,197,10,2770.0,0
PF-19225,115,10,2206.1279999999997,0
PG-18820,37,26,3086.907,1
PG-18895,58,17,1987.164,0
PH-18790,71,2,729.648,0
PJ-18835,40,13,1220.09,0
PJ-19015,135,10,1824.2340000000002,0
PK-18910,484,3,1441.152,2
PK-19075,10,25,8646.934,1
PL-18925,16,8,239.481,0
PM-18940,387,4,1405.402,2
PM-19135,52,7,4115.662,0
PN-18775,31,13,1467.152,0
PO-18850,5,22,7473.8282,1
PO-18865,1,13,2493.214,0
PO-19180,161,18,4893.043,1
PO-19195,87,10,1056.858,0
PP-18955,98,34,7252.608,1
PR-18880,37,12,1840.178,0
PS-18760,108,21,2181.479,1
PS-18970,70,13,1278.639,0
PS-19045,237,13,6843.634,1
PT-19090,72,7,160.572,0
PV-18985,90,13,2876.046,0
PW-19030,47,13,3454.916,0
PW-19240,465,12,3922.4150000000004,2
QJ-19255,26,13,6108.338,1
RA-19285,6,17,2617.906,0
RA-19885,44,15,3832.314,1
RA-19915,13,22,4793.543,1
RA-19945,62,9,1686.9225,0
RB-19330,69,6,1008.1959999999999,0
RB-19360,97,18,15117.339,1
RB-19435,20,16,2663.0860000000002,0
RB-19465,10,23,4715.466,1
RB-19570,26,9,528.546,0
RB-19645,649,7,221.084,2
RB-19705,55,7,2067.45,0
RB-19795,33,18,5633.316000000001,1
RC-19825,370,10,966.409,2
RC-19960,111,11,885.752,0
RD-19480,73,15,4272.93,1
RD-19585,181,19,2912.8940000000002,1
RD-19660,115,5,2786.632,0
RD-19720,22,20,1419.737,1
RD-19810,15,16,1137.616,0
RD-19900,115,21,3133.924,1
RD-19930,43,10,970.9420000000001,0
RE-19405,1098,1,48.36,2
RE-19450,303,9,876.696,0
RF-19345,391,16,3309.15,2
RF-19735,90,14,2341.2960000000003,0
RF-19840,7,11,945.222,0
RH-19495,33,8,3621.3759999999997,0
RH-19510,468,12,6979.18,2
RH-19555,520,3,740.382,2
RH-19600,535,11,2085.7400000000002,2
RK-19300,120,8,1460.192,0
RL-19615,122,24,6234.91,1
RM-19375,346,9,1453.474,2
RM-19675,7,11,5979.0960000000005,1
RM-19750,300,2,98.35,2
RO-19780,36,12,3815.478,0
RP-19270,497,12,954.6452,2
RP-19390,34,25,5153.084,1
RP-19855,29,15,2170.716,0
RR-19315,20,4,615.932,0
RR-19525,171,10,3302.2619999999997,0
RS-19420,77,9,3221.29,0
RS-19765,37,14,4159.7699999999995,1
RS-19870,20,3,22.328,0
RW-19540,121,23,7397.401,1
RW-19630,90,16,3279.746,1
RW-19690,80,15,3495.646,0
SA-20830,64,21,4767.3415,1
SB-20170,202,7,1348.02,0
SB-20185,189,12,6410.996,1
SB-20290,48,17,8057.891,1
SC-20020,782,17,3362.9636,2
SC-20050,41,15,4624.572,1
SC-20095,350,22,14142.333999999999,1
SC-20230,150,11,4371.9580000000005,0
SC-20260,188,18,3729.7929999999997,1
SC-20305,30,12,3979.065,0
SC-20380,31,20,5992.536,1
SC-20440,37,10,1874.998,0
SC-20575,93,7,902.7280000000001,0
SC-20680,127,8,1254.64,0
SC-20695,90,14,2576.408,0
SC-20725,188,26,5226.21,1
SC-20770,42,21,4492.657,1
SC-20800,31,5,279.25600000000003,0
SC-20845,132,4,280.632,0
SD-20485,201,21,6121.114,1
SE-20110,10,19,12209.438000000002,1
SF-20065,60,9,763.5459999999999,0
SF-20200,60,15,3422.7859999999996,0
SF-20965,49,17,3336.535,1
SG-20080,9,11,3406.5809999999997,0
SG-20470,184,14,1884.798,0
SG-20605,109,13,3124.832,0
SG-20890,227,5,47.946,0
SH-19975,30,29,3406.8395,1
SH-20395,24,15,2180.718,0
SH-20635,766,2,2096.392,2
SJ-20125,96,24,3949.656,1
SJ-20215,30,10,1341.036,0
SJ-20500,254,7,1318.776,0
SK-19990,9,5,883.409,0
SL-20155,71,9,3053.012,0
SM-20005,422,6,244.49399999999997,2
SM-20320,80,15,25043.05,1
SM-20905,607,6,1043.041,2
SM-20950,26,22,5563.392,1
SN-20560,112,15,1860.418,0
SN-20710,80,19,3127.9592,1
SO-20335,30,15,2602.5755,0
SP-20545,328,10,1306.086,2
SP-20620,48,24,5440.319,1
SP-20650,387,15,1872.4360000000001,2
SP-20860,80,24,4282.94,1
SP-20920,71,14,3990.689,0
SR-20425,9,9,3233.481,0
SR-20740,197,12,4345.8859999999995,0
SS-20140,16,21,1324.028,1
SS-20410,111,12,3056.8070000000002,0
SS-20515,492,6,613.4,2
SS-20590,433,9,418.49,2
SS-20875,121,15,964.636,0
ST-20530,126,12,433.34000000000003,0
SU-20665,21,18,2595.364,1
SV-20365,102,32,11470.949999999999,1
SV-20785,321,25,4105.305,1
SV-20815,77,6,1271.0900000000001,0
SV-20935,3,13,1903.491,0
SW-20245,82,10,1085.078,0
SW-20275,31,7,1966.65,0
SW-20350,163,6,1019.044,0
SW-20455,163,9,2921.544,0
SW-20755,535,8,758.6959999999999,2
SZ-20035,36,20,3625.329,1
TA-21385,70,10,14595.62,1
TB-21055,120,18,1467.881,0
TB-21175,59,11,3589.296,0
TB-21190,50,4,816.1740000000001,0
TB-21250,350,19,1602.376,0
TB-21280,584,11,2198.45,2
TB-21355,147,13,834.328,0
TB-21400,203,17,9133.99,1
TB-21520,108,20,4737.486,1
TB-21595,286,7,1387.559,0
TB-21625,31,15,2797.668,0
TC-20980,400,12,19052.218,1
TC-21145,107,4,1038.26,0
TC-21295,28,16,4266.812,1
TC-21475,154,11,1244.976,0
TC-21535,5,10,742.5580000000001,0
TD-20995,38,16,1434.5480000000002,0
TG-21310,338,9,3058.372,2
TG-21640,115,10,2074.661,0
TH-21100,345,7,2422.824,2
TH-21115,59,9,2942.772,0
TH-21235,118,13,1022.201,0
TH-21550,73,13,4234.0960000000005,0
TM-21010,104,19,2955.2259999999997,1
TM-21490,131,4,1094.6779999999999,0
TN-21040,91,12,3130.221,0
TP-21130,9,16,4454.0560000000005,1
TP-21415,105,10,5329.0048,0
TP-21565,351,10,1936.6399999999999,2
TR-21325,194,7,675.9419999999999,0
TS-21085,358,2,4.833,2
TS-21160,505,17,2163.6240000000003,2
TS-21205,199,19,5371.09,1
TS-21340,227,12,974.7819999999999,0
TS-21370,37,15,11891.751,1
TS-21430,173,7,2054.14,0
TS-21505,12,14,2243.274,0
TS-21610,56,11,2820.424,0
TS-21655,239,14,3368.094,0
TT-21070,32,14,4915.602,1
TT-21220,184,15,1427.0439999999999,0
TT-21265,407,3,439.5,2
TT-21460,13,14,5364.808,1
TW-21025,65,12,5278.826,1
TZ-21580,36,9,1707.286,0
VB-21745,55,10,2005.596,0
VD-21670,582,16,6442.254,2
VF-21715,14,11,847.944,0
VG-21790,155,8,846.01,0
VG-21805,287,6,427.372,0
VM-21685,55,12,2454.866,0
VM-21835,118,8,380.69,0
VP-21730,31,5,993.9019999999999,0
VP-21760,76,14,3360.526,0
VS-21820,222,8,1055.981,0
VT-21700,1001,9,1736.596,2
VW-21775,29,18,6134.0380000000005,1
WB-21850,21,37,6160.102,1
XP-21865,44,28,2374.658,1
YC-21895,5,8,5454.35,0
YS-21880,10,12,6720.4439999999995,1
ZC-21910,55,31,8025.707,1
ZD-21925,203,9,1493.944,0
